modul,savol,text,answers
5-modul 5.1 mavzu,1-savol,Receptionist telefonni qanday ko‘taradi?,Tabassum va salomlashish
5-modul 5.1 mavzu,2-savol,Receptionist telefon orqali qanday gapiradi?,Tushunarli va muloyim
5-modul 5.1 mavzu,3-savol,Telefon suhbatida nima muhim?,Diqqat bilan tinglash
5-modul 5.1 mavzu,4-savol,Receptionist buyurtma yoki so‘rovni qanday qabul qiladi?,Yozib olish
5-modul 5.1 mavzu,5-savol,Receptionist mehmonni qanday xabardor qiladi?,Qayta qo‘ng‘iroq qilish va aytib berish
5-modul 5.1 mavzu,6-savol,Qaysi rasm professional telefon xizmatini ko‘rsatadi?,Tabassum bilan suhbat
5-modul 5.2 mavzu,1-savol,Receptionist buyurtmani qanday qabul qiladi?,Yozib olish
5-modul 5.2 mavzu,2-savol,Receptionist mehmon so‘rovini qanday tinglaydi?,Diqqat bilan
5-modul 5.2 mavzu,3-savol,Buyurtmani qabul qilganda receptionist nima qiladi?,Tasdiqlab aytadi
5-modul 5.2 mavzu,4-savol,. Receptionist so‘rovni qanday qayta aytadi?,Buyurtmani takrorlab tasdiqlash
5-modul 5.2 mavzu,5-savol,Receptionist xizmatni vaqtda yetkazish uchun nima qiladi?,Vaqtni belgilaydi
5-modul 5.2 mavzu,6-savol,Qaysi rasm professional buyurtma qabul qilishni ko‘rsatadi?,Yozib olish va tabassum
5-modul 5.3 mavzu,1-savol,Receptionist shikoyatni qanday qabul qiladi?,Diqqat bilan tinglash
5-modul 5.3 mavzu,2-savol,Receptionist shikoyatni qanday javob bilan qabul qiladi?,Muloyim va tushunarli
5-modul 5.3 mavzu,3-savol,Receptionist shikoyatni yozib oladimi?,"Ha, yozib oladi"
5-modul 5.3 mavzu,4-savol,Receptionist muammoni qanday hal qiladi?,Uzr so‘rab va yechim taklif qilib
5-modul 5.3 mavzu,5-savol,Qaysi rasm shikoyat bilan ishlashni ko‘rsatadi?,Qo‘l berib uzr so‘rash
5-modul 5.3 mavzu,6-savol,Receptionist mehmonni qanday tinchlantiradi?,Iliq va samimiy gaplar
5-modul 5.4 mavzu,1-savol,Receptionist shikoyat eshitganda birinchi nima qiladi?,Diqqat bilan tinglaydi
5-modul 5.4 mavzu,2-savol,Receptionist shikoyatga qanday javob beradi?,Muloyim va tushunarli
5-modul 5.4 mavzu,3-savol,Receptionist shikoyat uchun nima deydi?,“Kechirasiz” deb uzr so‘rash
5-modul 5.4 mavzu,4-savol,Receptionist professional so‘z birikmasi qanday?,"“Rahmat, muammoingizni aytganingiz uchun.”"
5-modul 5.4 mavzu,5-savol,Qaysi rasm professional javobni ko‘rsatadi?,Tabassum bilan tushuntirish
5-modul 5.4 mavzu,6-savol,Receptionist qanday ohangda gapiradi?,Iliq va tushunarli
6-modul 6.1 mavzu,1-savol,Receptionist mijoz muammosini qanday tinglaydi?,Diqqat bilan va hurmat bilan
6-modul 6.1 mavzu,2-savol,Tinglash vaqtida receptionistning yuz ifodasi qanday?,Iliq va qiziqish bilan
6-modul 6.1 mavzu,3-savol,Receptionist nima qiladi?,Muammoni yozib oladi
6-modul 6.1 mavzu,6-savol,Receptionist muammo eshitganda qanday javob beradi?,"“Rahmat, tushundim”"
6-modul 6.2 mavzu,1-savol,Receptionist muammo uchun qanday javob beradi?,“Kechirasiz” deb uzr so‘rash
6-modul 6.2 mavzu,2-savol,Receptionist muammoni qanday hal qiladi?,Yechim taklif qiladi
6-modul 6.2 mavzu,3-savol,Receptionist qanday yuz ifodasi bilan gapiradi?,Iliq va tushunarli
6-modul 6.2 mavzu,5-savol,Qaysi rasm professional kechirim so‘rashni ko‘rsatadi?,Uzr so‘rab qo‘l berish yoki bukilish
6-modul 6.2 mavzu,6-savol,Receptionist muammoni hal qilish uchun nima qiladi?,Masalani tezda tuzatish va xizmat taklif qilish
7-modul 7.1 mavzu,1-savol,Receptionist check-out jarayonida nima qiladi?,To‘lovni qabul qiladi va tushuntiradi
7-modul 7.1 mavzu,2-savol,Check-out paytida receptionist qanday ohangda gapiradi?,Muloyim va tushunarli
7-modul 7.1 mavzu,3-savol,Receptionist mehmondan nima oladi?,Xona kaliti yoki kartasi
7-modul 7.1 mavzu,4-savol,Check-out jarayonida qanday yuz ifoda bo‘ladi?,Tabassum va hurmatli qarash
7-modul 7.1 mavzu,5-savol,Qaysi rasm professional check-outni ko‘rsatadi?,To‘lov qilish va qo‘l siqish 
7-modul 7.1 mavzu,6-savol,Receptionist check-outda qanday xizmat ko‘rsatadi?,Hisob-kitobni tushuntiradi va yordam beradi
7-modul 7.2 mavzu,1-savol,Receptionist to‘lovni qanday qabul qiladi?,Karta yoki naqd shaklda to‘lovni qabul qiladi
7-modul 7.2 mavzu,2-savol,To‘lov vaqtida qanday ohangda gapiradi?,Tushunarli va muloyim
7-modul 7.2 mavzu,6-savol,Receptionist to‘lovdan keyin nima qiladi?,Chekni beradi va minnatdorchilik bildiradi
7-modul 7.3 mavzu,1-savol,Receptionist hisob-kitobni qanday tushuntiradi?,Aniq va tushunarli
7-modul 7.3 mavzu,2-savol,Receptionistning ohangi qanday bo‘ladi?,Muloyim va hurmatli
7-modul 7.3 mavzu,3-savol,Hisobni tushuntirganda receptionist nima qiladi?,Bandma-band izoh beradi
7-modul 7.3 mavzu,4-savol,Receptionist qanday yuz ifoda bilan tushuntiradi?,Tabassum va diqqat bilan 
7-modul 7.3 mavzu,5-savol,Qaysi rasm professional hisob-kitob tushuntirishni ko‘rsatadi?,Professional xizmat
7-modul 7.3 mavzu,6-savol,Receptionist qanday gapdan foydalanadi?,Aniq va tushunarli
7-modul 7.4 mavzu,1-savol,Receptionist mehmon bilan qanday xayrlashadi?,Hurmat va iliqlik
